,Mountain,cleaned_names,name,link
0,"Ann, Mount ",ann,"""Mount Ann""",/peak/50575
1,"Baker, Mount ",baker,"Baker, Mount",/peak/16671
2,Bedal Peak,bedal,Bedal Peak,/peak/49933
3,Big Devil Peak,bigdevil,Big Devil Peak,/peak/49514
4,Black Peak,black,Black Peak,/peak/16886
5,Black Peak,black,Black Mountain,/peak/51650
6,"Blum, Mt",blum,"Blum, Mount",/peak/16919
7,"Buckner, Mount ",buckner,Buckner Mountain,/peak/16998
8,"Challenger, Mount ",challenger,,
9,Circle Peak,circle,,
10,Coleman Pinnacle,colemanpinnacle,,
11,Colonial Peak,colonial,Colonial Peak,/peak/49030
12,Columbia Peak,columbia,Columbia Peak,/peak/49420
13,Corteo Peak,corteo,,
14,Crater Peak,crater,Crater Mountain,/peak/48828
15,Cutthroat Peak,cutthroat,Cutthroat Peak,/peak/48864
16,Del Campo Peak,delcampo,Del Campo Peak,/peak/17453
17,Desolation Peak,desolation,Desolation Peak,/peak/16936
18,Dock Butte,dockbutte,Dock Butte,/peak/17389
19,Dome Peak,dome,Dome Peak,/peak/16992
20,Eldorado Peak,eldorado,Eldorado Peak,/peak/17469
21,"Erie, Mount ",erie,"Erie, Mount",/peak/55204
22,Fisher Peak,fisher,,
23,Forbidden Peak,forbidden,Forbidden Peak,/peak/48683
24,Fortress Mountain,fortress,Fortress Mountain,/peak/48684
25,Gee Point,geepoint,,
26,Glacier Peak,glacier,Glacier Peak,/peak/16679
27,Green Mountain,green,Green Mountain,/peak/52310
28,Green Mountain,green,Green Mountain,/peak/54676
29,Hidden Lake Peaks,hiddenlakes,,
30,Hurricane Peak,hurricane,,
31,Hurry-up Peak,hurry-up,Hurry-up Peak,/peak/48986
32,Jack Mountain,jack,Jack Mountain,/peak/16770
33,Jumbo Mountain,jumbo,Jumbo Mountain,/peak/50574
34,Jumbo Mountain,jumbo,Jumbo Peak,/peak/50652
35,Jumbo Mountain,jumbo,Jumbo Mountain,/peak/52225
36,Kyes Peak,kyes,Kyes Peak,/peak/49326
37,Le Conte Mountain,leconte,,
38,Little Devil Peak,littledevil,Little Devil Peak,/peak/49569
39,Little Mountain,little,Little Mountain,/peak/53901
40,"Logan, Mount ",logan,"Logan, Mount",/peak/48667
41,Lookout Mountain,lookout,Lookout Mountain,/peak/50788
42,Lookout Mountain,lookout,Lookout Mountain,/peak/51000
43,Lookout Mountain,lookout,Lookout Mountain,/peak/53003
44,Lookout Mountain,lookout,Lookout Mountain,/peak/53393
45,Lookout Mountain,lookout,Lookout Mountain,/peak/17486
46,Luna Peak,luna,Luna Peak,/peak/16982
47,Park Butte Lookout,parkbuttelookout,,
48,"Prophet, Mt",prophet,"Prophet, Mount",/peak/16789
49,"Pugh, Mount ",pugh,"Pugh, Mount",/peak/17085
50,Ruby Mountain,ruby,Ruby Mountain,/peak/16808
51,Ruth Mountain,ruth,Ruth Mountain,/peak/49464
52,Sahale Peak,sahale,,
53,Sauk Mountain,sauk,Sauk Mountain,/peak/50963
54,Sentinel Peak,sentinel,Sentinel Peak,/peak/48781
55,"Shuksan, Mount ",shuksan,"Shuksan, Mount",/peak/16753
56,Sloan Peak,sloan,Sloan Peak,/peak/16811
57,Snowfield Peak,snowfield,Snowfield Peak,/peak/17040
58,Snowking Mountain,snowking,Snowking Mountain,/peak/49242
59,Sourdough Mountain,sourdough,,
60,"Spickard, Mount ",spickard,"Spickard, Mount",/peak/16728
61,"Torment, Mount ",torment,,
62,Trappers Peak,trappers,,
63,Tricouni Peak,tricouni,,
64,"Triumph, Mount ",triumph,"Triumph, Mount",/peak/49352
65,"Watson, Mount ",watson,"Watson, Mount",/peak/50256
66,West McMillan Spire,westmcmillanspire,,
67,White Chuck Mountain,whitechuck,White Chuck Mountain,/peak/16819
