,Mountain,cleaned_names,name,link
0,"Ann, Mount ",ann,Mount Ann,peak.aspx?pid=24837
1,"Baker, Mount ",baker,Mount Baker,peak.aspx?pid=1633
2,Bedal Peak,bedal,Bedal Peak,peak.aspx?pid=1800
3,Big Devil Peak,bigdevil,Big Devil Peak,peak.aspx?pid=24813
4,Black Peak,black,Black Peak,peak.aspx?pid=1830
5,"Blum, Mt",blum,Mount Blum,peak.aspx?pid=1640
6,"Buckner, Mount ",buckner,Mount Buckner,peak.aspx?pid=1852
7,"Challenger, Mount ",challenger,Mount Challenger,peak.aspx?pid=1650
8,Circle Peak,circle,Circle Peak,peak.aspx?pid=25588
9,Coleman Pinnacle,colemanpinnacle,Coleman Pinnacle,peak.aspx?pid=25965
10,Colonial Peak,colonial,Colonial Peak,peak.aspx?pid=1838
11,Columbia Peak,columbia,Columbia Peak,peak.aspx?pid=1813
12,Corteo Peak,corteo,Corteo Peak,peak.aspx?pid=1832
13,Crater Peak,crater,Crater Mountain,peak.aspx?pid=1701
14,Cutthroat Peak,cutthroat,Cutthroat Peak,peak.aspx?pid=1718
15,Del Campo Peak,delcampo,Del Campo Peak,peak.aspx?pid=1808
16,Desolation Peak,desolation,Desolation Peak,peak.aspx?pid=1688
17,Dock Butte,dockbutte,Dock Butte,peak.aspx?pid=1623
18,Dome Peak,dome,,
19,Eldorado Peak,eldorado,Eldorado Peak,peak.aspx?pid=1846
20,"Erie, Mount ",erie,Mount Erie,peak.aspx?pid=772
21,Fisher Peak,fisher,Fisher Peak,peak.aspx?pid=1826
22,Forbidden Peak,forbidden,Forbidden Peak,peak.aspx?pid=1849
23,Fortress Mountain,fortress,Fortress Mountain,peak.aspx?pid=1981
24,Gee Point,geepoint,Gee Point,peak.aspx?pid=24588
25,Glacier Peak,glacier,Glacier Peak,peak.aspx?pid=1972
26,Green Mountain,green,Green Mountain,peak.aspx?pid=1862
27,Hidden Lake Peaks,hiddenlakes,,
28,Hurricane Peak,hurricane,Hurricane Peak,peak.aspx?pid=25517
29,Hurry-up Peak,hurry-up,Hurry-Up Peak,peak.aspx?pid=1869
30,Jack Mountain,jack,Jack Mountain,peak.aspx?pid=1699
31,Jumbo Mountain,jumbo,Jumbo Mountain,peak.aspx?pid=19110
32,Kyes Peak,kyes,Kyes Peak,peak.aspx?pid=1812
33,Le Conte Mountain,leconte,Le Conte Mountain,peak.aspx?pid=1875
34,Little Devil Peak,littledevil,Little Devil Peak,peak.aspx?pid=24784
35,Little Mountain,little,Little Mountain,peak.aspx?pid=25612
36,"Logan, Mount ",logan,Mount Logan,peak.aspx?pid=1828
37,Lookout Mountain,lookout,Lookout Mountain,peak.aspx?pid=24595
38,Luna Peak,luna,Luna Peak,peak.aspx?pid=1651
39,Park Butte Lookout,parkbuttelookout,,
40,"Prophet, Mt",prophet,Mount Prophet,peak.aspx?pid=1649
41,"Pugh, Mount ",pugh,Mount Pugh,peak.aspx?pid=1974
42,Ruby Mountain,ruby,Ruby Mountain,peak.aspx?pid=1814
43,Ruth Mountain,ruth,Ruth Mountain,peak.aspx?pid=1627
44,Sahale Peak,sahale,Sahale Peak,peak.aspx?pid=1854
45,Sauk Mountain,sauk,Sauk Mountain,peak.aspx?pid=24532
46,Sentinel Peak,sentinel,Sentinel Peak,peak.aspx?pid=1879
47,"Shuksan, Mount ",shuksan,Mount Shuksan,peak.aspx?pid=1630
48,Sloan Peak,sloan,Sloan Peak,peak.aspx?pid=1803
49,Snowfield Peak,snowfield,Snowfield Peak,peak.aspx?pid=1840
50,Snowking Mountain,snowking,Snowking Mountain,peak.aspx?pid=1857
51,Sourdough Mountain,sourdough,Sourdough Mountain,peak.aspx?pid=1661
52,"Spickard, Mount ",spickard,Mount Spickard,peak.aspx?pid=1610
53,"Torment, Mount ",torment,Mount Torment,peak.aspx?pid=1848
54,Trappers Peak,trappers,Trappers Peak,peak.aspx?pid=25514
55,Tricouni Peak,tricouni,Tricouni Peak,peak.aspx?pid=1842
56,"Triumph, Mount ",triumph,Mount Triumph,peak.aspx?pid=1642
57,"Watson, Mount ",watson,Mount Watson,peak.aspx?pid=24228
58,West McMillan Spire,westmcmillanspire,,
59,White Chuck Mountain,whitechuck,White Chuck Mountain,peak.aspx?pid=1787
