Mountain,cleaned_names,name,link,
"Ann, Mount ",ann,,,1
"Baker, Mount ",baker,Mount Baker,peak.aspx?pid=1633,1
Bedal Peak,bedal,Bedal Peak,peak.aspx?pid=1800,1
Big Devil Peak,bigdevil,Big Devil Peak,peak.aspx?pid=24813,1
Black Peak,black,Black Peak,peak.aspx?pid=1830,1
"Blum, Mt",blum,Mount Blum,peak.aspx?pid=1640,1
"Buckner, Mount ",buckner,Mount Buckner,peak.aspx?pid=1852,1
"Challenger, Mount ",challenger,Mount Challenger,peak.aspx?pid=1650,1
Circle Peak,circle,Circle Peak,peak.aspx?pid=25588,1
Coleman Pinnacle,colemanpinnacle,Coleman Pinnacle,peak.aspx?pid=25965,1
Colonial Peak,colonial,Colonial Peak,peak.aspx?pid=1838,1
Columbia Peak,columbia,Columbia Peak,peak.aspx?pid=1813,1
Corteo Peak,corteo,Corteo Peak,peak.aspx?pid=1832,1
Crater Peak,crater,Crater Mountain,peak.aspx?pid=1701,1
Cutthroat Peak,cutthroat,Cutthroat Peak,peak.aspx?pid=1718,1
Del Campo Peak,delcampo,Del Campo Peak,peak.aspx?pid=1808,1
Desolation Peak,desolation,Desolation Peak,peak.aspx?pid=1688,1
Dock Butte,dockbutte,Dock Butte,peak.aspx?pid=1623,1
Dome Peak,dome,Dome Peak,peak.aspx?pid=1886,1
Eldorado Peak,eldorado,Eldorado Peak,peak.aspx?pid=1846,1
"Erie, Mount ",erie,Mount Erie,peak.aspx?pid=772,1
Fisher Peak,fisher,Fisher Peak,peak.aspx?pid=1826,1
Forbidden Peak,forbidden,Forbidden Peak,peak.aspx?pid=1849,1
Fortress Mountain,fortress,Fortress Mountain,peak.aspx?pid=1981,1
Gee Point,geepoint,Gee Point,peak.aspx?pid=24588,1
Glacier Peak,glacier,Glacier Peak,peak.aspx?pid=1972,1
Green Mountain,green,Green Mountain,peak.aspx?pid=1862,1
Hidden Lake Peaks,hiddenlakes,,,1
Hurricane Peak,hurricane,Hurricane Peak,peak.aspx?pid=25517,1
Hurry-up Peak,hurry-up,Hurry-Up Peak,peak.aspx?pid=1869,1
Jack Mountain,jack,Jack Mountain,peak.aspx?pid=1699,1
Jumbo Mountain,jumbo,Jumbo Mountain,peak.aspx?pid=19110,1
Kyes Peak,kyes,Kyes Peak,peak.aspx?pid=1812,1
Le Conte Mountain,leconte,Le Conte Mountain,peak.aspx?pid=1875,1
Little Devil Peak,littledevil,Little Devil Peak,peak.aspx?pid=24784,1
Little Mountain,little,,,1
"Logan, Mount ",logan,Mount Logan,peak.aspx?pid=1828,1
Lookout Mountain,lookout,Lookout Mountain,peak.aspx?pid=24595,1
Luna Peak,luna,Luna Peak,peak.aspx?pid=1651,1
Park Butte Lookout,parkbuttelookout,,,1
"Prophet, Mt",prophet,Mount Prophet,peak.aspx?pid=1649,1
"Pugh, Mount ",pugh,Mount Pugh,peak.aspx?pid=1974,1
Ruby Mountain,ruby,Ruby Mountain,peak.aspx?pid=1814,2
Ruby Mountain,ruby,Ruby Mountain,peak.aspx?pid=69188,2
Ruth Mountain,ruth,Mount Ruth,peak.aspx?pid=2292,3
Ruth Mountain,ruth,Ruth Mountain,peak.aspx?pid=1627,3
Ruth Mountain,ruth,Ruth Peak,peak.aspx?pid=970,3
Sahale Peak,sahale,Sahale Peak,peak.aspx?pid=1854,1
Sauk Mountain,sauk,Sauk Mountain,peak.aspx?pid=24532,1
Sentinel Peak,sentinel,Sentinel Peak,peak.aspx?pid=925,3
Sentinel Peak,sentinel,Sentinel Peak,peak.aspx?pid=1879,3
Sentinel Peak,sentinel,Sentinel Mountain,peak.aspx?pid=43804,3
"Shuksan, Mount ",shuksan,Mount Shuksan,peak.aspx?pid=1630,1
Sloan Peak,sloan,Sloan Peak,peak.aspx?pid=1803,1
Snowfield Peak,snowfield,Snowfield Peak,peak.aspx?pid=1840,1
Snowking Mountain,snowking,Snowking Mountain,peak.aspx?pid=1857,1
Sourdough Mountain,sourdough,Sourdough Mountain,peak.aspx?pid=1661,4
Sourdough Mountain,sourdough,Sourdough Mountain,peak.aspx?pid=893,4
Sourdough Mountain,sourdough,Sourdough,peak.aspx?pid=-26589,4
Sourdough Mountain,sourdough,Sourdough Peak,peak.aspx?pid=-28614,4
"Spickard, Mount ",spickard,Mount Spickard,peak.aspx?pid=1610,1
"Torment, Mount ",torment,Mount Torment,peak.aspx?pid=1848,1
Trappers Peak,trappers,Trappers Peak,peak.aspx?pid=25514,1
Tricouni Peak,tricouni,Tricouni Peak,peak.aspx?pid=1842,1
"Triumph, Mount ",triumph,Mount Triumph,peak.aspx?pid=1642,1
"Watson, Mount ",watson,Mount Watson,peak.aspx?pid=24228,1
West McMillan Spire,westmcmillanspire,,,1
White Chuck Mountain,whitechuck,White Chuck Mountain,peak.aspx?pid=1787,1
