,Mountain,cleaned_names,name,link
0,"Ann, Mount ",ann,,
1,"Baker, Mount ",baker,Mount Baker,/wiki/Mount_Baker
2,Bedal Peak,bedal,,
3,Big Devil Peak,bigdevil,Big Devil Peak,/wiki/Big_Devil_Peak
4,Black Peak,black,Black Peak (Washington),/wiki/Black_Peak_(Washington)
5,"Blum, Mt",blum,Mount Blum,/wiki/Mount_Blum
6,"Buckner, Mount ",buckner,Buckner Mountain,/wiki/Buckner_Mountain
7,"Challenger, Mount ",challenger,Mount Challenger (Washington),/wiki/Mount_Challenger_(Washington)
8,Circle Peak,circle,,
9,Coleman Pinnacle,colemanpinnacle,,
10,Colonial Peak,colonial,Colonial Peak,/wiki/Colonial_Peak
11,Columbia Peak,columbia,Columbia Peak,/wiki/Columbia_Peak
12,Corteo Peak,corteo,Corteo Peak,/wiki/Corteo_Peak
13,Crater Peak,crater,Crater Mountain,/wiki/Crater_Mountain
14,Cutthroat Peak,cutthroat,Cutthroat Peak,/wiki/Cutthroat_Peak
15,Del Campo Peak,delcampo,Del Campo Peak,/wiki/Del_Campo_Peak
16,Desolation Peak,desolation,Desolation Peak (Washington),/wiki/Desolation_Peak_(Washington)
17,Dock Butte,dockbutte,,
18,Dome Peak,dome,Dome Peak,/wiki/Dome_Peak
19,Eldorado Peak,eldorado,Eldorado Peak,/wiki/Eldorado_Peak
20,"Erie, Mount ",erie,Mount Erie (Washington),/wiki/Mount_Erie_(Washington)
21,Fisher Peak,fisher,Fisher Peak (Washington),/wiki/Fisher_Peak_(Washington)
22,Forbidden Peak,forbidden,Forbidden Peak,/wiki/Forbidden_Peak
23,Fortress Mountain,fortress,,
24,Gee Point,geepoint,,
25,Glacier Peak,glacier,Glacier Peak,/wiki/Glacier_Peak
26,Green Mountain,green,"Green Mountain (King County, Washington)","/wiki/Green_Mountain_(King_County,_Washington)"
27,Green Mountain,green,"Green Mountain (Kitsap County, Washington)","/wiki/Green_Mountain_(Kitsap_County,_Washington)"
28,Green Mountain,green,"Green Mountain (Snohomish County, Washington)","/wiki/Green_Mountain_(Snohomish_County,_Washington)"
29,Hidden Lake Peaks,hiddenlakes,Hidden Lake Peaks,/wiki/Hidden_Lake_Peaks
30,Hurricane Peak,hurricane,,
31,Hurry-up Peak,hurry-up,Hurry-up Peak,/wiki/Hurry-up_Peak
32,Jack Mountain,jack,Jack Mountain,/wiki/Jack_Mountain
33,Jumbo Mountain,jumbo,Jumbo Mountain,/wiki/Jumbo_Mountain
34,Kyes Peak,kyes,Kyes Peak,/wiki/Kyes_Peak
35,Le Conte Mountain,leconte,,
36,Little Devil Peak,littledevil,,
37,Little Mountain,little,,
38,"Logan, Mount ",logan,Mount Logan (Washington),/wiki/Mount_Logan_(Washington)
39,Lookout Mountain,lookout,,
40,Luna Peak,luna,Luna Peak (Washington),/wiki/Luna_Peak_(Washington)
41,Park Butte Lookout,parkbuttelookout,,
42,"Prophet, Mt",prophet,Mount Prophet,/wiki/Mount_Prophet
43,"Pugh, Mount ",pugh,Mount Pugh,/wiki/Mount_Pugh
44,Ruby Mountain,ruby,Ruby Mountain (Washington),/wiki/Ruby_Mountain_(Washington)
45,Ruth Mountain,ruth,Ruth Mountain,/wiki/Ruth_Mountain
46,Sahale Peak,sahale,Sahale Mountain,/wiki/Sahale_Mountain
47,Sauk Mountain,sauk,Sauk Mountain,/wiki/Sauk_Mountain
48,Sentinel Peak,sentinel,"Sentinel Peak (Jefferson County, Washington)","/wiki/Sentinel_Peak_(Jefferson_County,_Washington)"
49,Sentinel Peak,sentinel,Sentinel Peak (Washington),/wiki/Sentinel_Peak_(Washington)
50,"Shuksan, Mount ",shuksan,Mount Shuksan,/wiki/Mount_Shuksan
51,Sloan Peak,sloan,Sloan Peak,/wiki/Sloan_Peak
52,Snowfield Peak,snowfield,Snowfield Peak,/wiki/Snowfield_Peak
53,Snowking Mountain,snowking,Snowking Mountain,/wiki/Snowking_Mountain
54,Sourdough Mountain,sourdough,"Sourdough Mountain (Whatcom County, Washington)","/wiki/Sourdough_Mountain_(Whatcom_County,_Washington)"
55,"Spickard, Mount ",spickard,Mount Spickard,/wiki/Mount_Spickard
56,"Torment, Mount ",torment,Mount Torment,/wiki/Mount_Torment
57,Trappers Peak,trappers,,
58,Tricouni Peak,tricouni,Tricouni Peak (Washington),/wiki/Tricouni_Peak_(Washington)
59,"Triumph, Mount ",triumph,Mount Triumph,/wiki/Mount_Triumph
60,"Watson, Mount ",watson,,
61,West McMillan Spire,westmcmillanspire,,
62,White Chuck Mountain,whitechuck,White Chuck Mountain,/wiki/White_Chuck_Mountain
