,Mountain,cleaned_names,name,link
0,"Ann, Mount ",ann,Mount Ann,https://www.wta.org/go-hiking/hikes/mount-ann
1,"Baker, Mount ",baker,Mount Baker,https://www.wta.org/go-hiking/hikes/mount-baker
2,Bedal Peak,bedal,Bedal Peak,https://www.wta.org/go-hiking/hikes/bedal-peak
3,Big Devil Peak,bigdevil,,
4,Black Peak,black,Black Peak,https://www.wta.org/go-hiking/hikes/black-peak
5,"Blum, Mt",blum,,
6,"Buckner, Mount ",buckner,,
7,"Challenger, Mount ",challenger,Mount Challenger,https://www.wta.org/go-hiking/hikes/mount-challenger
8,Circle Peak,circle,Circle Peak,https://www.wta.org/go-hiking/hikes/circle-peak
9,Coleman Pinnacle,colemanpinnacle,Coleman Pinnacle,https://www.wta.org/go-hiking/hikes/coleman-pinnacle
10,Colonial Peak,colonial,Colonial Peak,https://www.wta.org/go-hiking/hikes/colonial-peak
11,Columbia Peak,columbia,Columbia Mountain,https://www.wta.org/go-hiking/hikes/columbia-mountain
12,Corteo Peak,corteo,,
13,Crater Peak,crater,Crater Mountain,https://www.wta.org/go-hiking/hikes/crater-mountain
14,Cutthroat Peak,cutthroat,,
15,Del Campo Peak,delcampo,Del Campo Peak,https://www.wta.org/go-hiking/hikes/del-campo-peak
16,Desolation Peak,desolation,Desolation Peak,https://www.wta.org/go-hiking/hikes/desolation-peak
17,Dock Butte,dockbutte,Dock Butte,https://www.wta.org/go-hiking/hikes/dock-butte
18,Dome Peak,dome,Dome Peak,https://www.wta.org/go-hiking/hikes/dome-peak
19,Eldorado Peak,eldorado,Eldorado Peak,https://www.wta.org/go-hiking/hikes/eldorado-peak
20,"Erie, Mount ",erie,,
21,Fisher Peak,fisher,,
22,Forbidden Peak,forbidden,Forbidden Peak,https://www.wta.org/go-hiking/hikes/forbidden-peak
23,Fortress Mountain,fortress,,
24,Gee Point,geepoint,Gee Point,https://www.wta.org/go-hiking/hikes/gee-point
25,Glacier Peak,glacier,Glacier Peak,https://www.wta.org/go-hiking/hikes/glacier-peak
26,Green Mountain,green,Green Mountain,https://www.wta.org/go-hiking/hikes/green-mountain
27,Green Mountain,green,Green Mountain,https://www.wta.org/go-hiking/hikes/green-mountain-3
28,Hidden Lake Peaks,hiddenlakes,Hidden Lakes,https://www.wta.org/go-hiking/hikes/hidden-lakes
29,Hidden Lake Peaks,hiddenlakes,Hidden Lakes,https://www.wta.org/go-hiking/hikes/hidden-lakes-1
30,Hurricane Peak,hurricane,,
31,Hurry-up Peak,hurry-up,,
32,Jack Mountain,jack,Jack Mountain,https://www.wta.org/go-hiking/hikes/jack-mountain
33,Jumbo Mountain,jumbo,Jumbo Mountain,https://www.wta.org/go-hiking/hikes/jumbo-mountain
34,Jumbo Mountain,jumbo,Jumbo Peak,https://www.wta.org/go-hiking/hikes/jumbo-peak
35,Kyes Peak,kyes,Kyes Peak,https://www.wta.org/go-hiking/hikes/kyes-peak
36,Le Conte Mountain,leconte,,
37,Little Devil Peak,littledevil,,
38,Little Mountain,little,,
39,"Logan, Mount ",logan,Mount Logan,https://www.wta.org/go-hiking/hikes/mount-logan
40,Lookout Mountain,lookout,,
41,Luna Peak,luna,Luna Peak,https://www.wta.org/go-hiking/hikes/luna-peak
42,Park Butte Lookout,parkbuttelookout,,
43,"Prophet, Mt",prophet,Mount Prophet,https://www.wta.org/go-hiking/hikes/mount-prophet
44,"Pugh, Mount ",pugh,Mount Pugh,https://www.wta.org/go-hiking/hikes/mount-pugh
45,Ruby Mountain,ruby,Ruby Mountain,https://www.wta.org/go-hiking/hikes/ruby-mountain
46,Ruth Mountain,ruth,Mount Ruth,https://www.wta.org/go-hiking/hikes/mount-ruth
47,Ruth Mountain,ruth,Ruth Mountain,https://www.wta.org/go-hiking/hikes/ruth-mt
48,Sahale Peak,sahale,Sahale Peak,https://www.wta.org/go-hiking/hikes/sahale-peak
49,Sauk Mountain,sauk,Sauk Mountain,https://www.wta.org/go-hiking/hikes/sauk-mountain
50,Sentinel Peak,sentinel,Sentinel Mountain,https://www.wta.org/go-hiking/hikes/sentinel-mountain
51,"Shuksan, Mount ",shuksan,Mount Shuksan,https://www.wta.org/go-hiking/hikes/mt-shuksan
52,Sloan Peak,sloan,Sloan Peak,https://www.wta.org/go-hiking/hikes/sloan-peak
53,Snowfield Peak,snowfield,Snowfield Peak,https://www.wta.org/go-hiking/hikes/snowfield-peak
54,Snowking Mountain,snowking,Snowking Mountain,https://www.wta.org/go-hiking/hikes/snowking
55,Sourdough Mountain,sourdough,Sourdough Mountain,https://www.wta.org/go-hiking/hikes/sourdough-mountain
56,"Spickard, Mount ",spickard,Mount Spickard,https://www.wta.org/go-hiking/hikes/mount-spickard
57,"Torment, Mount ",torment,,
58,Trappers Peak,trappers,,
59,Tricouni Peak,tricouni,,
60,"Triumph, Mount ",triumph,,
61,"Watson, Mount ",watson,,
62,West McMillan Spire,westmcmillanspire,,
63,White Chuck Mountain,whitechuck,White Chuck Mountain,https://www.wta.org/go-hiking/hikes/white-chuck-mountain
