Mountain,Cleaned Name,Elevation,Latitude,Longitude,Peakbagger Link
"Ann, Mount ",Mount Ann,5840,48.8165,-121.6665,https://www.peakbagger.com/peak.aspx?pid=24837
"Baker, Mount ",Mount Baker,10781,48.7767,-121.8144,https://www.peakbagger.com/peak.aspx?pid=1633
Bedal Peak,Bedal Peak,6554,48.0686,-121.3543,https://www.peakbagger.com/peak.aspx?pid=1800
Big Devil Peak,Big Devil Peak,7055,48.6045,-121.2937,https://www.peakbagger.com/peak.aspx?pid=24813
Black Peak,Black Peak,8970,48.5234,-120.8162,https://www.peakbagger.com/peak.aspx?pid=1830
"Blum, Mt",Mt Blum,7680,48.7541,-121.4822,https://www.peakbagger.com/peak.aspx?pid=1640
"Buckner, Mount ",Mount Buckner,9114,48.4943,-120.9999,https://www.peakbagger.com/peak.aspx?pid=1852
"Challenger, Mount ",Mount Challenger,8207,48.8364,-121.3422,https://www.peakbagger.com/peak.aspx?pid=1650
Circle Peak,Circle Peak,5983,48.2205,-121.3226,https://www.peakbagger.com/peak.aspx?pid=25588
Coleman Pinnacle,Coleman Pinnacle,6403,48.8209,-121.7409,https://www.peakbagger.com/peak.aspx?pid=25965
Colonial Peak,Colonial Peak,7771,48.6614,-121.1219,https://www.peakbagger.com/peak.aspx?pid=1838
Columbia Peak,Columbia Peak,7172,47.9616,-121.3613,https://www.peakbagger.com/peak.aspx?pid=1813
Corteo Peak,Corteo Peak,8080,48.5046,-120.7881,https://www.peakbagger.com/peak.aspx?pid=1832
Crater Peak,Crater Peak,8128,48.7393,-120.9203,https://www.peakbagger.com/peak.aspx?pid=1701
Cutthroat Peak,Cutthroat Peak,8050,48.5264,-120.7035,https://www.peakbagger.com/peak.aspx?pid=1718
Del Campo Peak,Del Campo Peak,6610,47.9905,-121.4707,https://www.peakbagger.com/peak.aspx?pid=1808
Desolation Peak,Desolation Peak,6102,48.9113,-121.0164,https://www.peakbagger.com/peak.aspx?pid=1688
Dock Butte,Dock Butte,5239,48.6393,-121.8066,https://www.peakbagger.com/peak.aspx?pid=1623
